Category,Part / Candidate,Qty,Notes,Decision Status
MCU,ESP32-S3-WROOM-1-N16R8,1,16MB Flash + 8MB PSRAM,Selected
RS485,MAX3485 / SP3485,2,3.3V RS485 transceiver,Candidate
Relay,Omron/Panasonic/Finder 5V relay,4,COM/NO/NC preferred,Open
Power,24V to 5V Buck,1,Industrial input tolerance,Open
Regulator,5V to 3.3V regulator,1,ESP32 Wi-Fi burst margin,Open
Protection,TVS input diode,1,24V input surge,Required
Protection,RS485 TVS array,2,A/B line protection,Required
Connector,Pluggable terminal block,TBD,Field wiring,Required
RTC,DS3231 or equivalent,1,Schedule/timekeeping,Candidate
USB,USB-C connector + ESD,1,Programming/debug,Required
